mode: set
lrumemcache/api/service.go:20.61,25.2 1 1
lrumemcache/api/service.go:27.71,29.16 2 0
lrumemcache/api/service.go:34.2,34.23 1 0
lrumemcache/api/service.go:29.16,33.3 3 0
lrumemcache/api/service.go:38.71,40.18 2 1
lrumemcache/api/service.go:41.22,43.17 2 1
lrumemcache/api/service.go:47.3,48.21 2 1
lrumemcache/api/service.go:49.23,53.17 4 0
lrumemcache/api/service.go:58.3,58.29 1 0
lrumemcache/api/service.go:59.10,60.45 1 0
lrumemcache/api/service.go:43.17,46.4 2 0
lrumemcache/api/service.go:53.17,57.4 3 0
lrumemcache/api/service.go:64.66,65.71 1 0
lrumemcache/api/service.go:65.71,66.16 1 0
lrumemcache/api/service.go:73.3,73.23 1 0
lrumemcache/api/service.go:66.16,67.36 1 0
lrumemcache/api/service.go:67.36,71.5 3 0
lrumemcache/api/service.go:78.34,85.2 6 0
